
Algorithm,Size,Constraint checks,Assignments,Completion time,result,iteration
BackTrack,4,84,7,0,Success,1
ForwadChecking,4,98,7,0,Success,1
ArcConsistency,4,200,7,0,Success,1
BackTrack,5,983,25,0.015627623,Success,2
ForwadChecking,5,408,19,0,Success,2
ArcConsistency,5,1066,10,0.031248569,Success,2
BackTrack,4,142,8,0,Success,3
ForwadChecking,4,124,8,0,Success,3
ArcConsistency,4,324,8,0,Success,3
BackTrack,6,4743,273,0.078317881,Success,4
ForwadChecking,6,1359,52,0.015621662,Success,4
ArcConsistency,6,7481,43,0.078123569,Success,4
BackTrack,5,2650,173,0.015626192,Success,5
ForwadChecking,5,664,27,0.015633821,Success,5
ArcConsistency,5,2581,23,0.015628099,Success,5
BackTrack,5,5409,223,0.062501431,Success,6
ForwadChecking,5,1159,79,0.015626669,Success,6
ArcConsistency,5,2927,16,0.046869755,Success,6
BackTrack,6,9999,145,0.140621901,Success,7
ForwadChecking,6,1466,48,0,Success,7
ArcConsistency,6,4237,27,0.062502384,Success,7
BackTrack,3,18,4,0,Success,8
ForwadChecking,3,28,4,0,Success,8
ArcConsistency,3,38,4,0,Success,8
BackTrack,6,2967,179,0.015639067,Success,9
ForwadChecking,6,1712,100,0.015632391,Success,9
ArcConsistency,6,44919,51,0.421876431,Success,9
BackTrack,6,31669,1451,0.359586,Success,10
ForwadChecking,6,8217,311,0.078120232,Success,10
ArcConsistency,6,46384,89,0.499998331,Success,10
BackTrack,4,320,25,0,Success,11
ForwadChecking,4,177,14,0,Success,11
ArcConsistency,4,318,12,0,Success,11
BackTrack,6,2212,65,0.015628576,Success,12
ForwadChecking,6,521,26,0,Success,12
ArcConsistency,6,1913,14,0.015650988,Success,12
BackTrack,5,360,48,0,Success,13
ForwadChecking,5,281,21,0,Success,13
ArcConsistency,5,995,20,0,Success,13
BackTrack,3,44,5,0,Success,14
ForwadChecking,3,50,5,0,Success,14
ArcConsistency,3,114,5,0,Success,14
BackTrack,6,10090,240,0.093747377,Success,15
ForwadChecking,6,1847,43,0,Success,15
ArcConsistency,6,13288,23,0.109374285,Success,15
BackTrack,7,4053,87,0.062499285,Success,16
ForwadChecking,7,2237,48,0.015631437,Success,16
